Date, Market Mood Index, Nifty Index
29-10-2021, 24.07 ," 17,671.65 "
28-10-2021, 30.24 ," 17,857.25 "
27-10-2021, 38.95 ," 18,210.95 "
26-10-2021, 41.23 ," 18,268.40 "
25-10-2021, 41.37 ," 18,125.40 "
22-10-2021, 44.36 ," 18,114.90 "
21-10-2021, 50.45 ," 18,178.10 "
20-10-2021, 49.82 ," 18,266.60 "
19-10-2021, 58.34 ," 18,418.75 "
18-10-2021, 69.53 ," 18,477.05 "
14-10-2021, 54.73 ," 18,338.55 "
13-10-2021, 49.46 ," 18,161.75 "
12-10-2021, 45.77 ," 17,991.95 "
11-10-2021, 44.71 ," 17,945.95 "
08-10-2021, 42.36 ," 17,895.20 "
07-10-2021, 35.52 ," 17,790.35 "
06-10-2021, 40.85 ," 17,646.00 "
05-10-2021, 47.70 ," 17,822.30 "
04-10-2021, 42.89 ," 17,691.25 "
01-10-2021, 40.28 ," 17,532.05 "
30-09-2021, 42.24 ," 17,618.15 "
29-09-2021, 42.58 ," 17,711.30 "
28-09-2021, 44.06 ," 17,748.60 "
27-09-2021, 48.39 ," 17,855.10 "
24-09-2021, 50.90 ," 17,853.20 "
24-09-2021, 51.06 ," 17,853.20 "
23-09-2021, 46.31 ," 17,822.95 "
22-09-2021, 47.80 ," 17,546.65 "
21-09-2021, 49.38 ," 17,562.00 "
20-09-2021, 40.92 ," 17,396.90 "
17-09-2021, 50.16 ," 17,585.15 "
16-09-2021, 62.95 ," 17,629.50 "
15-09-2021, 64.11 ," 17,519.45 "
14-09-2021, 60.06 ," 17,380.00 "
13-09-2021, 65.22 ," 17,355.30 "
09-09-2021, 67.89 ," 17,369.25 "
08-09-2021, 66.62 ," 17,353.50 "
07-09-2021, 70.40 ," 17,362.10 "
06-09-2021, 71.02 ," 17,377.80 "
03-09-2021, 72.22 ," 17,323.60 "
02-09-2021, 70.14 ," 17,234.15 "
01-09-2021, 67.50 ," 17,076.25 "
31-08-2021, 61.83 ," 17,132.20 "
30-08-2021, 51.56 ," 16,931.05 "
27-08-2021, 40.02 ," 16,705.20 "
26-08-2021, 36.38 ," 16,636.90 "
25-08-2021, 41.61 ," 16,634.65 "
